id,timestamp,ask_total,bid_total,price,user_id,group_id,created_at
6,2025-07-26 17:50:00+00,9915,18245,117541,,default-group,2025-07-26 08:50:43.716947+00
7,2025-07-26 17:55:00+00,9934,18096,117550,,default-group,2025-07-26 08:55:43.697444+00
8,2025-07-26 18:00:00+00,9953,18185,117585,,default-group,2025-07-26 09:00:43.712836+00
9,2025-07-26 18:05:00+00,9921,18038,117525,,default-group,2025-07-26 09:05:43.418071+00
10,2025-07-26 18:10:00+00,9938,18103,117523,,default-group,2025-07-26 09:10:43.703116+00
11,2025-07-26 18:15:00+00,9899,18104,117524,,default-group,2025-07-26 09:15:43.85876+00
12,2025-07-26 18:20:00+00,9915,18149,117520,,default-group,2025-07-26 09:20:43.628971+00
13,2025-07-26 18:25:00+00,10042,18097,117456,,default-group,2025-07-26 09:25:43.80593+00
14,2025-07-26 18:30:00+00,9970,17835,117423,,default-group,2025-07-26 09:30:43.515097+00
15,2025-07-26 18:35:00+00,10018,18047,117427,,default-group,2025-07-26 09:35:43.670887+00
16,2025-07-26 18:40:00+00,9932,18199,117530,,default-group,2025-07-26 09:40:43.613247+00
17,2025-07-26 18:45:00+00,10012,18147,117492,,default-group,2025-07-26 09:45:43.925367+00
18,2025-07-26 18:50:00+00,9967,18125,117522,,default-group,2025-07-26 09:50:44.023896+00
19,2025-07-26 18:55:00+00,9952,18156,117547,,default-group,2025-07-26 09:55:43.804593+00
20,2025-07-26 19:00:00+00,9884,18211,117558,,default-group,2025-07-26 10:00:43.78256+00
21,2025-07-26 19:05:00+00,10044,18082,117539,,default-group,2025-07-26 10:05:43.824116+00
22,2025-07-26 20:10:00+00,10014,19475,118019,,default-group,2025-07-26 11:10:08.174045+00
